Year,Category,Content
2025,国内学会,"横田一晟, 鴻上和彦, 小川一美, 李セロン, “なぜ日本語における発話意図分類は困難か？- VRMの自動分類化に向けて-”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2025, 2025."
2024,国内学会,"横田一晟, 李セロン, “会話支援システムにおける音声での情報伝達の印象とコミュニケーションスキルの関係の調査”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2024, 2024."
2024,国内学会,"藤井睦大, 横田一晟, 前田恭佑, 李セロン, “弓道における癖・感覚の可視化に向けた射形のパターン化に関する研究”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2024, 2024."
2024,国内学会,"前田恭佑, 横田一晟, 岡田吉史, 李セロン, “リアルデータへの適用に向けた効率的でロバストな連鎖パタンマイニングの開発”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2024, 2024."
2025,国内学会,"梶原幹生, 前田恭佑, 岡田吉史, 李セロン, “連鎖パタンマイニングにおける離散化手法の改良”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2024, 2024."
2024,受賞,"前田恭佑, 横田一晟, 岡田吉史, 李セロン, “リアルデータへの適用に向けた効率的でロバストな連鎖パタンマイニングの開発”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2024, 2025.(奨励賞)"
2024,国際学会,"Issei Yokota, Kyosuke Maeda, Kazuhiko Kogami, and Saerom Lee, “Development of The Proposed Method for Extraction of Combination of Topic Transition”, The 2024 International Conference on Kansei Engineering and Emotion Research (KEER 2024), pp.300-309, 2024."
2024,論文,"Kyosuke Maeda, Issei Yokota, Yoshifumi Okada, and Saerom Lee, “Development of Efficient and Robust Linkage Pattern Mining for Multiple Sequential Data”, IAENG International Journal of Computer Science, vol.52, no.1, pp.223-232, 2024."
2024,国内学会,"横田一晟, 新田宗史, 奥野唯織, 李セロン, 北村尊義, “作業を終えた後にメッセージを確認したくなるタスクライトシステムHearZの好ましい点灯パターンの検討”, ＨＡＩシンポジウム ２０２４, 2024."
2023,国内学会,"横田一晟, 鴻上和彦, 李セロン, “1対1におけるオンライン会話時の話題提供支援システムの開発”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2023, 2023."
2023,受賞,"横田一晟, 鴻上和彦, 李セロン, “1対1におけるオンライン会話時の話題提供支援システムの開発”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2023, 2024.(優秀発表賞)"
2025,国際学会,"Hirari Nishikori, Yusuke Kometani, and Saerom Lee, “A Study on Facial Features that Make People Feel Comfortable Asking for Directionm”,  The 6th Joint Workshop of Advanced Materials Science and Engineering Between Hanbat National University and Kagawa University (JWHK), pp.10-11, 2026."
2025,国内学会,"錦織ひらり, 林奏良, 髙橋みみ, 柴田悠基, 李セロン, “高松中央商店街を評価するアプリ開発と実態調査”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2025, 2025."
2025,国際学会,"Hirari Nishikori, Yusuke Kometani, and Saerom Lee, “Analysis of Faces and Facial Elements that Make People Want to Ask for Directions”, 14th International Conference on Computer Information Systems and Industrial Management Applications and International Conference on Biometrics and Kansei Engineering 2025 (CISIM&ICBAKE), vol.15927, pp.461-475, 2025."
2024,国内学会,"眞鍋奈緒, 錦織ひらり, 李セロン, “夜間の学生服の視認性向上のための安全かつデザイン的なマフラーの色の分析”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2024, 2024."
2024,受賞,"眞鍋奈緒, 錦織ひらり, 李セロン, “夜間の学生服の視認性向上のための安全かつデザイン的なマフラーの色の分析”, 生命ソフトウェア・感性工房・而立の会 合同シンポジウム 2024, 2024.(最優秀賞)"
2024,国際学会,"Hirari Nishikori, Saerom Lee, and Toshihiro Hayashi, “Analysis of the Relationship between Colors and Impression on Studio Ghibli Movie Posters”, 2024 Joint 13th International Conference on Soft Computing and Intelligent Systems and 25th International Symposium on Advanced Intelligent Systems (SCIS&ISIS), pp.1-4, 2024."
2024,受賞,"Hirari Nishikori, Saerom Lee, and Toshihiro Hayashi, “Analysis of the Relationship between Colors and Impression on Studio Ghibli Movie Posters”, 2024 Joint 13th International Conference on Soft Computing and Intelligent Systems and 25th International Symposium on Advanced Intelligent Systems (SCIS&ISIS), pp.1-4, 2024.(SCIS&ISIS IEEE Computational Intelligence Society Japan Chapter Young Researcher Award)"
